Organization Name,CID,Column1,Program,Region,Company Website,Address,Address2,Address3,City,State,Zip
"Abest Power & Gas, LLC",C003387,"200 Connecticut Avenue, 5th Floor, Norwalk, CT 06854",FPA (Market Based Rate) Public Utilities,Western,www.abestpower.com,"200 Connecticut Avenue, 5th Floor",,,Norwalk,CT,06854
ABN Energy LLC,C002237,"54 State Street, Ste 804 #7997, Albany, NY 12207",FPA (Market Based Rate) Public Utilities,Western,www.abnenergy.com,"54 State Street, Ste 804 #7997",,,Albany,NY,12207
"AC Energy, LLC",C010150,"1350 Avenue of the Americas, Suite 2300, New York, NY 10019",FPA (Market Based Rate) Public Utilities,Western,www.acenergyllc.com/,"1350 Avenue of the Americas, Suite 2300",,,New York,NY,10019
"AC Landfill Energy, LLC",C000916,"1 South Jersey Plaza, Folsom, NJ 08037",FPA (Market Based Rate) Public Utilities,Western,www.sjindustries.com/marina,1 South Jersey Plaza,,,Folsom,NJ,08037
Accent Energy Midwest II LLC,C002910,"6100 Emerald Parkway, Dublin, OH 43016",FPA (Market Based Rate) Public Utilities,Western,www.igs.com,6100 Emerald Parkway,,,Dublin,OH,43016
"Access Energy Solutions, LLC",C008827,"380 Polaris Parkway Suite 135, Westerville, OH 43082",FPA (Market Based Rate) Public Utilities,Western,www.thechampioncompanies.com,380 Polaris Parkway,Suite 135,,Westerville,OH,43082
"Acorn I Energy Storage, LLC",C010452,"100 Bayview Cir. Suite 79, Newport Beach, CA 92660",FPA (Market Based Rate) Public Utilities,Western,https://www.esvolta.com/acorn,100 Bayview Cir. Suite 79,,,Newport Beach,CA,92660
"ACT Commodities, Inc.",C008931,"437 Madison Avenue Suite 19C, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.actcommodities.com/,437 Madison Avenue,Suite 19C,,New York,NY,10022
"Actual Energy, Inc.",C010486,"74 Route 6A, Sandwich, MA 02563",FPA (Market Based Rate) Public Utilities,Western,https://www.actualenergy.com,74 Route 6A,,,Sandwich,MA,02563
"Adams Wind Farm, LLC",C009033,"353 N. Clark Street 30th Floor, Chicago, IL 60625",FPA (Market Based Rate) Public Utilities,Western,https://www.rwe.com/en/the-group/rwe-clean-energy/,353 N. Clark Street,30th Floor,,Chicago,IL,60625
ADG Group Inc.,C007592,"77 King Street West, Suite 400, Toronto, ON M5K 0A1",FPA (Market Based Rate) Public Utilities,Western,www.adggroup.ca,"77 King Street West, Suite 400",,,Toronto,ON,M5K 0A1
"Advantage Energy, LLC",C001778,"361 Park Rd, West Hartford, CT 06119",FPA (Market Based Rate) Public Utilities,Western,advantageenergy.net,361 Park Rd,,,West Hartford,CT,06119
"AE-ESS NWS 1, LLC",C011531,"401 Edgewater Place, Suite 105, Wakefield, MA 01880",FPA (Market Based Rate) Public Utilities,Western,https://agilitasenergy.com/,"401 Edgewater Place, Suite 105",,,Wakefield,MA,01880
"AEM Wind, LLC",C007616,"c/o Akuo Energy USA, Inc. 645 North Michigan Avenue, Suite 980, Chicago, IL 60611",FPA (Market Based Rate) Public Utilities,Western,www.akuoenergy.com,"c/o Akuo Energy USA, Inc.","645 North Michigan Avenue, Suite 980",,Chicago,IL,60611
"AEP Energy, Inc.",C002671,"1 Riverside Plaza, Columbus, OH 43215",FPA (Market Based Rate) Public Utilities,Western,www.aep.com,1 Riverside Plaza,,,Columbus,OH,43215
AEP Retail Energy Partners LLC,C001701,"1 Riverside Plaza, Columbus, OH 43215",FPA (Market Based Rate) Public Utilities,Western,www.aep.com,1 Riverside Plaza,,,Columbus,OH,43215
"Aequitas Energy, Inc.",C003122,"555 Pleasantville RD N 202, Briarcliff Manor, NY 10510",FPA (Market Based Rate) Public Utilities,Western,www.aequitasenergy.com,555 Pleasantville RD N 202,,,Briarcliff Manor,NY,10510
"AER NY-Gen, LLC",C001891,"c/o Alliance Energy 110 East Seneca Street, Sherrill, NY 13461",FPA (Market Based Rate) Public Utilities,Western,www.allianceenergy.net,c/o Alliance Energy,110 East Seneca Street,,Sherrill,NY,13461
Aera Energy LLC,C010307,"1050 Thomas Jefferson St., NW Suite #700, Washington, DC 20007",FPA (Market Based Rate) Public Utilities,Western,www.vnf.com,"1050 Thomas Jefferson St., NW",Suite #700,,Washington,DC,20007
"AES Alamitos Energy, LLC",C010215,"c/o Mark Miller 690 N. Studebaker Rd., Long Beach, CA 90803",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,c/o Mark Miller,690 N. Studebaker Rd.,,Long Beach,CA,90803
"AES Alamitos, LLC",C001936,"c/o Mark Miller 690 N. Studebaker Road, Long Beach, CA 90803",FPA (Market Based Rate) Public Utilities,Western,www.aes.com/subsidiaries,c/o Mark Miller,690 N. Studebaker Road,,Long Beach,CA,90803
"AES Beaver Valley, LLC",C003332,"c/o Tom Jesikiewicz 384 Frankfort Road, Monaca, PA 15061",FPA (Market Based Rate) Public Utilities,Western,www.aes.com/subsidiaries,c/o Tom Jesikiewicz,384 Frankfort Road,,Monaca,PA,15061
"AES CE Solutions, LLC",C011719,"2180 South 1300 East, Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,"2180 South 1300 East, Suite 600",,,Salt Lake City,UT,84106
"AES Energy Storage, LLC",C001940,"c/o Praveen Kathpal 4300 Wilson Blvd, Suite 1100, Arlington, VA 22203",FPA (Market Based Rate) Public Utilities,Western,www.aes.com/subsidiaries,c/o Praveen Kathpal,"4300 Wilson Blvd, Suite 1100",,Arlington,VA,22203
"AES ES Alamitos 2, LLC",C012221,"2180 South 1300 East, Suite 500, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,"2180 South 1300 East, Suite 500",,,Salt Lake City,UT,84106
"AES ES Alamitos, LLC",C010323,"c/o Mark Miller 690 N. Studebaker Rd., Long Beach, CA 90803",FPA (Market Based Rate) Public Utilities,Western,www.aesusgeneration.com,c/o Mark Miller,690 N. Studebaker Rd.,,Long Beach,CA,90803
"AES ES Gilbert, LLC",C010197,"c/o Mark Miller 905 S 54th Street, Chandler, AZ 85226",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,c/o Mark Miller,905 S 54th Street,,Chandler,AZ,85226
"AES ES Tait, LLC",C001941,"c/o Praveen Kathpal 4300 Wilson Blvd, Suite 1100, Arlington, VA 22203",FPA (Market Based Rate) Public Utilities,Western,www.aes.com/subsidiaries,c/o Praveen Kathpal,"4300 Wilson Blvd, Suite 1100",,Arlington,VA,22203
"AES ES Westwing, LLC",C011831,"2180 South 1300 East, Suite 500, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,"2180 South 1300 East, Suite 500",,,Salt Lake City,UT,84106
"AES Huntington Beach Energy, LLC",C010216,"c/o Mark Miller 690 N. Studebaker Rd., Long Beach, CA 90803",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,c/o Mark Miller,690 N. Studebaker Rd.,,Long Beach,CA,90803
"AES Integrated Energy, LLC",C010243,"4300 Wilson Boulevard (c/o The AES Corporation), Arlington, VA 22203",FPA (Market Based Rate) Public Utilities,Western,www.aesusgeneration.com,4300 Wilson Boulevard (c/o The AES Corporation),,,Arlington,VA,22203
"AES Marketing and Trading, LLC",C011264,"2180 South 1300 East, Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,"2180 South 1300 East, Suite 600",,,Salt Lake City,UT,84106
"AES Redondo Beach, L.L.C.",C001947,"c/o Mark Miller 1100 N. Harbor Dr., Redondo Beach, CA 90277",FPA (Market Based Rate) Public Utilities,Western,www.aes.com/subsidiaries,c/o Mark Miller,1100 N. Harbor Dr.,,Redondo Beach,CA,90277
"AES Shady Point, LLC",C010145,"22042 AES Road, Panama, OK 74951",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,22042 AES Road,,,Panama,OK,74951
"AES Solutions Management, LLC",C010575,"1065 Woodman Drive (c/o AES US Services, LLC), Dayton, OH 05432",FPA (Market Based Rate) Public Utilities,Western,www.aesusgeneration.com,"1065 Woodman Drive (c/o AES US Services, LLC)",,,Dayton,OH,05432
"AES Westwing II ES, LLC",C012220,"2180 South 1300 East, Suite 500, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.aes.com,"2180 South 1300 East, Suite 500",,,Salt Lake City,UT,84106
"Aesir Power, LLC",C004520,"2 Calle Washington Suite 1103, San Juan, PR 00907",FPA (Market Based Rate) Public Utilities,Western,aesirpower.com,2 Calle Washington Suite 1103,,,San Juan,PR,00907
"AEUG Union Solar, LLC",C011992,"c/o Acciona Energy USA Global LLC 55 East Monroe St, Suite 2900, Chicago, IL 60603",FPA (Market Based Rate) Public Utilities,Western,https://www.unionsolarfarm.com/?_adin=02021864894,c/o Acciona Energy USA Global LLC,"55 East Monroe St, Suite 2900",,Chicago,IL,60603
"AG-Energy, L.P.",C001893,"c/o Alliance Energy 110 East Seneca Street, Sherrill, NY 13461",FPA (Market Based Rate) Public Utilities,Western,www.allianceenergy.net,c/o Alliance Energy,110 East Seneca Street,,Sherrill,NY,13461
Agera Energy LLC,C004467,"555 Pleasantville Rd South Building Suite 107, Briarcliff Manor, NY 10510",FPA (Market Based Rate) Public Utilities,Western,www.ageraenergy.com,555 Pleasantville Rd,South Building Suite 107,,Briarcliff Manor,NY,10510
Aggressive Energy LLC,C004533,"78 Rapelye Street, Brooklyn, NY 11231",FPA (Market Based Rate) Public Utilities,Western,www.aggressiveny.com,78 Rapelye Street,,,Brooklyn,NY,11231
"Agua Caliente Solar, LLC",C002558,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
Air Liquide,C002620,"9811 Katy Fwy, Ste 100, Houston, TX 77024",FPA (Market Based Rate) Public Utilities,Western,www.airliquide.com,"9811 Katy Fwy, Ste 100",,,Houston,TX,77024
Air Products and Chemicals - Taft,C007605,"7201 Hamilton Blvd, Allentown, PA 18195",FPA (Market Based Rate) Public Utilities,Western,www.airproducts.com,7201 Hamilton Blvd,,,Allentown,PA,18195
"Airport Solar I, LLC",C012214,"c/o Greenbacker Renewable Energy Corporation 230 Park Ave, Suite 1560, New York, NY 10169",FPA (Market Based Rate) Public Utilities,Western,www.greenbackercapital.com,c/o Greenbacker Renewable Energy Corporation,"230 Park Ave, Suite 1560",,New York,NY,10169
Airport Solar LLC,C010386,"1166 Avenue of the Americas, Ninth Floor, New York, NY 10036",FPA (Market Based Rate) Public Utilities,Western,www.deshaw.com/contact,"1166 Avenue of the Americas, Ninth Floor",,,New York,NY,10036
Akinnar LLLP,C011643,"14260 W Newberry Road NUM 202, Newberry, FL 32669",FPA (Market Based Rate) Public Utilities,Western,www.akinnar.com,14260 W Newberry Road NUM 202,,,Newberry,FL,32669
"AL Mesquite Marketing, LLC",C008967,"1050 Thomas Jefferson St., NW, Suite 700, Washington, DC 20007",FPA (Market Based Rate) Public Utilities,Western,www.vnf.com,"1050 Thomas Jefferson St., NW, Suite 700",,,Washington,DC,20007
"AL Sandersville, LLC",C002016,"13860 Ballantyne Corporate Pl Suite 300, Charlotte, NC 28277",FPA (Market Based Rate) Public Utilities,Western,www.cogentrix.com,13860 Ballantyne Corporate Pl,Suite 300,,Charlotte,NC,28277
"AL Solar A, LLC",C005166,"36, rue Lajeunesse, Kingsey Falls, QC J0A 1B0",FPA (Market Based Rate) Public Utilities,Western,https://www.boralex.com,"36, rue Lajeunesse",,,Kingsey Falls,QC,J0A 1B0
"AL Solar D, LLC",C011680,"800 Brickell Avenue, Suite 1000, Miami, FL 33131",FPA (Market Based Rate) Public Utilities,Western,www.origisenergy.com,"800 Brickell Avenue, Suite 1000",,,Miami,FL,33131
"Alabama Electric Marketing, LLC",C000210,"14302 FNB Parkway, Omaha, NE 68154",FPA (Market Based Rate) Public Utilities,Western,www.tenaska.com,14302 FNB Parkway,,,Omaha,NE,68154
"Albany Green Energy, LLC",C005505,"PO Box 140 27 Fox Farm Road, Stratton, ME 04982",FPA (Market Based Rate) Public Utilities,Western,www.regenerate-energy.com,PO Box 140,27 Fox Farm Road,,Stratton,ME,04982
"Albemarle Beach Solar, LLC",C010780,"Albemarle Beach Solar, LLC c/o SunEnergy1, LLC 192 Raceway Drive, Mooresville, NC 28117",FPA (Market Based Rate) Public Utilities,Western,www.sunenergy1.com,"Albemarle Beach Solar, LLC c/o SunEnergy1, LLC",192 Raceway Drive,,Mooresville,NC,28117
"Albertsons Companies, Inc.",C001462,"11555 Canyon Way, Pleasanton, CA 94588",FPA (Market Based Rate) Public Utilities,Western,www.albertsons.com,11555 Canyon Way,,,Pleasanton,CA,94588
Alcoa Power Marketing LLC,C001331,"2O1 Isabella Street, Pittsburgh, PA 15212",FPA (Market Based Rate) Public Utilities,Western,www.alcoa.com,2O1 Isabella Street,,,Pittsburgh,PA,15212
"Alexander Wind Farm, LLC",C004867,"1000 SW Broadway STE 1880, Portland, OR 97205",FPA (Market Based Rate) Public Utilities,Western,www.skylinerenewables.com,1000 SW Broadway,STE 1880,,Portland,OR,97205
Algodon Solar Energy Holdings LLC,C011872,"One South Wacker Drive, Suite 1800, Chicago, IL 60606",FPA (Market Based Rate) Public Utilities,Western,www.invenergy.com,"One South Wacker Drive, Suite 1800",,,Chicago,IL,60606
Algodon Solar Energy LLC,C011871,"One South Wacker Drive, Suite 1800, Chicago, IL 60606",FPA (Market Based Rate) Public Utilities,Western,www.invenergy.com,"One South Wacker Drive, Suite 1800",,,Chicago,IL,60606
Algonquin Energy Services Inc.,C002533,"354 Davis Road, Oakville, ON L6J 2X1",FPA (Market Based Rate) Public Utilities,Western,www.algonquinpower.com,354 Davis Road,,,Oakville,ON,L6J 2X1
Alkali Solar LLC,C010638,"1519 King Street, Charleston, SC 29405",FPA (Market Based Rate) Public Utilities,Western,www.southerncurrentllc.com,1519 King Street,,,Charleston,SC,29405
"All American Power and Gas, LLC",C008862,"24123 Peachland Blvd C-4 Suite 228, Port Charlotte, FL 33954",FPA (Market Based Rate) Public Utilities,Western,www.aapandg.com,24123 Peachland Blvd C-4 Suite 228,,,Port Charlotte,FL,33954
All Choice Energy MidAmerica LLC,C010901,"3 School Street Suite 101B, Glen Cove, NY 11542",FPA (Market Based Rate) Public Utilities,Western,www.allchoiceenergy.com,3 School Street,Suite 101B,,Glen Cove,NY,11542
All Choice Energy NE LLC,C012241,"3 School Street Suite 101B, Glen Cove, NY 11542",FPA (Market Based Rate) Public Utilities,Western,www.allchoiceenergy.com,3 School Street,Suite 101B,,Glen Cove,NY,11542
"All Choice Energy, LLC",C008729,"3 School Street, Glen Cove, NY 11542",FPA (Market Based Rate) Public Utilities,Western,www.allchoiceenergy.com,3 School Street,,,Glen Cove,NY,11542
"All Clean Power, LLC",C011971,"1127 High Ridge Road, Suite 195, Stamford, CT 06905",FPA (Market Based Rate) Public Utilities,Western,www.allcleanpower.com,"1127 High Ridge Road, Suite 195",,,Stamford,CT,06905
"All Dams Generation, LLC",C003718,"7315 Wisconsin Ave Suite 1100W, Bethesda, MD 20814",FPA (Market Based Rate) Public Utilities,Western,www.eaglecreekre.com,7315 Wisconsin Ave,Suite 1100W,,Bethesda,MD,20814
All Pro Case Management,C008762,"16633 Livernois suite 4, Detroit, MI 48221",FPA (Market Based Rate) Public Utilities,Western,allprocasemanagement.com,16633 Livernois suite 4,,,Detroit,MI,48221
Allegany Generating Station LLC,C003663,"634 Main Street Upper Suite 300, East Aurora, NY 14052",FPA (Market Based Rate) Public Utilities,Western,www.allianceenergy.net,634 Main Street,Upper Suite 300,,East Aurora,NY,14052
"Allegheny Ridge Wind Farm, LLC",C001625,"6688 North Central Expressway Suite 500, Dallas, TX 75206",FPA (Market Based Rate) Public Utilities,Western,www.leewardenergy.com,6688 North Central Expressway,Suite 500,,Dallas,TX,75206
"ALLETE Clean Energy, Inc.",C002897,"30 West Superior Street Suite 200, Duluth, MN 55802",FPA (Market Based Rate) Public Utilities,Western,alletecleanenergy.com,30 West Superior Street,Suite 200,,Duluth,MN,55802
"Alliance Energy Marketing, LLC",C001892,"c/o Alliance Energy 110 East Seneca Street, Sherrill, NY 13461",FPA (Market Based Rate) Public Utilities,Western,www.allianceenergy.net,c/o Alliance Energy,110 East Seneca Street,,Sherrill,NY,13461
Alliance For Cooperative Energy Services Power Marketing LLC,C001831,"4140 West 99th Street, Carmel, IN 46032",FPA (Market Based Rate) Public Utilities,Western,www.acespower.com,4140 West 99th Street,,,Carmel,IN,46032
"Alliance NYGT, LLC",C002991,"634 Main Street Upper Suite 300, East Aurora, NY 14052",FPA (Market Based Rate) Public Utilities,Western,www.allianceenergy.net,634 Main Street,Upper Suite 300,,East Aurora,NY,14052
Allied Energy Resources Corporation,C002687,"1330 Post Oak Blvd, Suite 2200, Houston, TX 77056",FPA (Market Based Rate) Public Utilities,Western,www.camac.com,"1330 Post Oak Blvd, Suite 2200",,,Houston,TX,77056
"Allora Solar, LLC",C011600,"130 Roberts Street, Asheville, NC 28801",FPA (Market Based Rate) Public Utilities,Western,https://pinegaterenewables.com/,130 Roberts Street,,,Asheville,NC,28801
Alpaca Energy LLC,C004831,"14302 FNB Parkway, Omaha, NE 68154",FPA (Market Based Rate) Public Utilities,Western,www.tenaska.com,14302 FNB Parkway,,,Omaha,NE,68154
"Alpaugh BESS, LLC",C012168,"353 N. Clark St., Suite 3000, Chicago, IL 60654",FPA (Market Based Rate) Public Utilities,Western,https://www.rwe.com/en/the-group/rwe-clean-energy/,"353 N. Clark St.,",Suite 3000,,Chicago,IL,60654
Alpha Gas and Electric LLC,C002238,"12 College Rd, Monsey, NY 10952",FPA (Market Based Rate) Public Utilities,Western,www.alphagasandelectric.com,12 College Rd,,,Monsey,NY,10952
AlphaGen Power LLC,C003943,"1111 Fannin, 11th Floor, Houston, TX 77002",FPA (Market Based Rate) Public Utilities,Western,www.jpmorgan.com/pages/disclosures/ferc,"1111 Fannin, 11th Floor",,,Houston,TX,77002
"AlphaStruxure Montgomery County, LLC",C011827,"1 Thomas Circle NW Suite 700, Washington, DC 20005",FPA (Market Based Rate) Public Utilities,Western,www.rockcreekenergygroup.com,1 Thomas Circle NW,Suite 700,,Washington,DC,20005
"Alta Farms Wind Project II, LLC",C011340,"100 Brickstone Square, Suite 300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,enelgreenpower.com,"100 Brickstone Square,",Suite 300,,Andover,MA,01810
"Alta Oak Realty, LLC",C010196,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"Alta Wind I, LLC",C001339,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Alta Wind II, LLC",C001679,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Alta Wind III, LLC",C001680,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Alta Wind IV, LLC",C001681,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Alta Wind V, LLC",C001682,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Alta Wind X, LLC",C003423,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Alta Wind XI, LLC",C003424,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
AltaGas Brush Energy Inc.,C001686,"634 Main St, Upper Suite 300 PO Box 876, East Aurora, NY 14052",FPA (Market Based Rate) Public Utilities,Western,www.allianceenergy.net,"634 Main St, Upper Suite 300",PO Box 876,,East Aurora,NY,14052
